"Time"	"1 nw-2"
-0.999999	0
-0.979998	0
-0.959997	0
-0.939996	0
-0.919995	0
-0.899994	0
-0.879993	0
-0.859992	0
-0.839991	0
-0.819990	0
-0.799989	0
-0.779988	0
-0.759987	0
-0.739986	0
-0.719985	0
-0.699984	0
-0.679983	0
-0.659982	0
-0.639981	0
-0.619980	0
-0.599979	0
-0.579978	0
-0.559977	0
-0.539976	0
-0.519975	0
-0.499974	0
-0.479973	0
-0.459972	0
-0.439971	0
-0.419970	0
-0.399969	0
-0.379968	0
-0.359967	0
-0.339966	0
-0.319965	0
-0.299964	0
-0.279963	0
-0.259962	0
-0.239961	0
-0.219960	0
-0.199959	0
-0.179958	0
-0.159957	0
-0.139956	0
-0.119955	0
-0.099954	0
-0.079953	0
-0.059952	0
-0.039951	0
-0.019950	0
0.000051	0
0.020052	0
0.040053	1
0.060054	3
0.080055	2
0.100056	2
0.120057	2
0.140058	1
0.160059	2
0.180060	1
0.200061	1
0.220062	2
0.240063	1
0.260064	1
0.280065	1
0.300066	2
0.320067	1
0.340068	1
0.360069	1
0.380070	1
0.400071	1
0.420072	1
0.440073	1
0.460074	1
0.480075	1
0.500076	1
0.520077	1
0.540078	1
0.560079	3
0.580080	1
0.600081	1
0.620082	1
0.640083	1
0.660084	1
0.680085	1
0.700086	1
0.720087	1
0.740088	0
0.760089	1
0.780090	1
0.800091	1
0.820092	1
0.840093	1
0.860094	1
0.880095	1
0.900096	1
0.920097	1
0.940098	1
0.960099	1
0.980100	1
1.000101	0
1.020102	1
1.040103	1
1.060104	1
1.080105	1
1.100106	1
1.120107	1
1.140108	1
1.160109	1
1.180110	0
1.200111	1
1.220112	1
1.240113	1
1.260114	1
1.280115	1
1.300116	0
1.320117	1
1.340118	1
1.360119	1
1.380120	1
1.400121	1
1.420122	0
1.440123	1
1.460124	1
1.480125	1
1.500126	1
1.520127	0
1.540128	1
1.560129	1
1.580130	1
1.600131	1
1.620132	0
1.640133	1
1.660134	1
1.680135	0
1.700136	1
1.720137	1
1.740138	1
1.760139	0
1.780140	1
1.800141	1
1.820142	1
1.840143	0
1.860144	1
1.880145	1
1.900146	1
1.920147	0
1.940148	1
1.960149	1
1.980150	1
2.000151	0
2.020152	1
2.040153	1
2.060154	1
2.080155	0
2.100156	1
2.120157	1
2.140158	1
2.160159	0
2.180160	1
2.200161	1
2.220162	1
2.240163	0
2.260164	1
2.280165	1
