"Time"	"1 Memory"
-0.200000	0
-0.180000	0
-0.160000	0
-0.140000	0
-0.120000	0
-0.100000	0
-0.080000	0
-0.060000	0
-0.040000	0
-0.020000	0
0.000000	0
0.020000	10
0.040000	9
0.060000	6
0.080000	9
0.100000	8
0.120000	8
0.140000	11
0.160000	10
0.180000	10
0.200000	9
0.220000	9
0.240000	8
0.260000	7
0.280000	8
0.300000	7
0.320000	6
0.340000	8
0.360000	7
0.380000	6
0.400000	6
0.420000	6
0.440000	7
0.460000	5
0.480000	5
0.500000	4
0.520000	6
0.540000	6
0.560000	6
0.580000	6
0.600000	6
0.620000	6
0.640000	6
0.660000	5
0.680000	4
0.700000	6
0.720000	6
0.740000	5
0.760000	4
0.780000	6
0.800000	6
0.820000	3
0.840000	6
0.860000	6
0.880000	3
0.900000	6
0.920000	5
0.940000	4
0.960000	5
0.980000	4
1.000000	6
1.020000	5
1.040000	4
1.060000	4
1.080000	5
1.100000	4
1.120000	4
1.140000	4
1.160000	4
1.180000	0
1.200000	0
1.220000	0
1.240000	0
1.260000	0
1.280000	0
1.300000	0
