"Time"	"1 nw-401"
-0.200000	0
-0.180000	0
-0.160000	0
-0.140000	0
-0.120000	0
-0.100000	0
-0.080000	0
-0.060000	0
-0.040000	0
-0.020000	0
0.000000	0
0.020000	3
0.040000	6
0.060000	3
0.080000	6
0.100000	6
0.120000	6
0.140000	9
0.160000	9
0.180000	6
0.200000	9
0.220000	6
0.240000	6
0.260000	6
0.280000	6
0.300000	6
0.320000	6
0.340000	6
0.360000	6
0.380000	6
0.400000	5
0.420000	5
0.440000	5
0.460000	6
0.480000	6
0.500000	5
0.520000	4
0.540000	6
0.560000	6
0.580000	4
0.600000	5
0.620000	6
0.640000	5
0.660000	3
0.680000	5
0.700000	4
0.720000	4
0.740000	6
0.760000	3
0.780000	6
0.800000	4
0.820000	5
0.840000	6
0.860000	3
0.880000	6
0.900000	3
0.920000	6
0.940000	3
0.960000	6
0.980000	4
1.000000	5
1.020000	5
1.040000	4
1.060000	5
1.080000	4
1.100000	5
1.120000	4
1.140000	5
1.160000	4
1.180000	0
1.200000	0
1.220000	0
1.240000	0
1.260000	0
1.280000	0
1.300000	0
