"Time"	"1 nw-1"
-0.200000	0
-0.180000	0
-0.160000	0
-0.140000	0
-0.120000	0
-0.100000	0
-0.080000	0
-0.060000	0
-0.040000	0
-0.020000	0
-0.000000	0
0.020000	0
0.040000	0
0.060000	3
0.080000	3
0.100000	6
0.120000	6
0.140000	10
0.160000	11
0.180000	10
0.200000	10
0.220000	8
0.240000	8
0.260000	9
0.280000	9
0.300000	7
0.320000	8
0.340000	8
0.360000	7
0.380000	8
0.400000	7
0.420000	8
0.440000	7
0.460000	7
0.480000	8
0.500000	6
0.520000	7
0.540000	8
0.560000	6
0.580000	6
0.600000	7
0.620000	7
0.640000	7
0.660000	6
0.680000	7
0.700000	6
0.720000	6
0.740000	8
0.760000	6
0.780000	6
0.800000	6
0.820000	6
0.840000	6
0.860000	7
0.880000	6
0.900000	6
0.920000	6
0.940000	6
0.960000	6
0.980000	6
1.000000	6
1.020000	6
1.040000	6
1.060000	6
1.080000	6
1.100000	6
1.120000	6
1.140000	5
1.160000	6
1.180000	0
1.200000	0
1.220000	0
1.240000	0
1.260000	0
1.280000	0
