"Time"	"1 nw-401"
-0.200000	0
-0.180000	0
-0.160000	0
-0.140000	0
-0.120000	0
-0.100000	0
-0.080000	0
-0.060000	0
-0.040000	0
-0.020000	0
0.000000	0
0.020000	7
0.040000	12
0.060000	9
0.080000	9
0.100000	13
0.120000	13
0.140000	15
0.160000	12
0.180000	2
0.200000	4
0.220000	4
0.240000	4
0.260000	4
0.280000	4
0.300000	4
0.320000	4
0.340000	3
0.360000	4
0.380000	5
0.400000	3
0.420000	3
0.440000	3
0.460000	4
0.480000	4
0.500000	4
0.520000	3
0.540000	3
0.560000	3
0.580000	3
0.600000	4
0.620000	3
0.640000	3
0.660000	3
0.680000	3
0.700000	3
0.720000	3
0.740000	0
0.760000	3
0.780000	3
0.800000	3
0.820000	3
0.840000	2
0.860000	1
0.880000	3
0.900000	2
0.920000	1
0.940000	3
0.960000	0
0.980000	3
1.000000	2
1.020000	1
1.040000	2
1.060000	2
1.080000	1
1.100000	1
1.120000	1
1.140000	1
1.160000	1
1.180000	0
1.200000	0
1.220000	0
1.240000	0
1.260000	0
1.280000	0
1.300000	0
