"Time"	"1 untitled"
-0.200000	0
-0.180000	0
-0.160000	0
-0.140000	0
-0.120000	0
-0.100000	0
-0.080000	0
-0.060000	0
-0.040000	0
-0.020000	0
-0.000000	0
0.020000	0
0.040000	3
0.060000	3
0.080000	4
0.100000	5
0.120000	6
0.140000	6
0.160000	6
0.180000	6
0.200000	6
0.220000	6
0.240000	3
0.260000	6
0.280000	6
0.300000	3
0.320000	6
0.340000	3
0.360000	6
0.380000	5
0.400000	4
0.420000	5
0.440000	4
0.460000	3
0.480000	6
0.500000	3
0.520000	5
0.540000	4
0.560000	5
0.580000	4
0.600000	3
0.620000	5
0.640000	4
0.660000	3
0.680000	5
0.700000	3
0.720000	4
0.740000	5
0.760000	3
0.780000	4
0.800000	3
0.820000	5
0.840000	3
0.860000	4
0.880000	3
0.900000	5
0.920000	3
0.940000	3
0.960000	4
0.980000	4
1.000000	4
1.020000	3
1.040000	3
1.060000	4
1.080000	4
1.100000	3
1.120000	4
1.140000	3
1.160000	3
1.180000	0
1.200000	0
1.220000	0
1.240000	0
1.260000	0
1.280000	0
